iter	Passed	Remaining
818	1741	384
819	1742	382
820	1743	380
821	1744	377
822	1746	375
823	1749	373
824	1751	371
825	1752	369
826	1754	366
827	1755	364
828	1757	362
829	1758	360
830	1760	357
831	1763	356
832	1765	353
833	1767	351
834	1769	349
835	1771	347
836	1772	345
837	1773	342
838	1775	340
839	1778	338
840	1780	336
841	1782	334
842	1783	332
843	1785	329
844	1786	327
845	1788	325
846	1789	323
847	1792	321
848	1794	319
849	1797	317
850	1799	314
851	1800	312
852	1801	310
853	1803	308
854	1804	306
855	1808	304
856	1811	302
857	1813	300
858	1814	297
859	1815	295
860	1817	293
861	1818	291
862	1820	288
863	1823	287
864	1827	285
865	1828	282
866	1830	280
867	1831	278
868	1832	276
869	1833	273
870	1834	271
871	1838	269
872	1840	267
873	1841	265
874	1843	263
875	1844	261
876	1845	258
877	1846	256
878	1848	254
879	1850	252
880	1853	250
881	1855	248
882	1857	246
883	1858	243
884	1859	241
885	1861	239
886	1862	237
887	1863	235
888	1865	232
889	1868	230
890	1870	228
891	1871	226
892	1873	224
893	1874	222
894	1875	220
895	1876	217
896	1878	215
897	1879	213
898	1881	211
899	1883	209
900	1886	207
901	1887	205
902	1888	202
903	1889	200
904	1890	198
905	1892	196
906	1893	194
907	1894	191
908	1896	189
909	1899	187
910	1900	185
911	1902	183
912	1903	181
913	1905	179
914	1906	177
915	1907	174
916	1909	172
917	1912	170
918	1914	168
919	1916	166
920	1917	164
921	1919	162
922	1920	160
923	1921	158
924	1923	155
925	1926	153
926	1928	151
927	1929	149
928	1931	147
929	1932	145
930	1933	143
931	1935	141
932	1936	139
933	1938	136
934	1941	134
935	1943	132
936	1946	130
937	1947	128
938	1949	126
939	1951	124
940	1952	122
941	1955	120
942	1958	118
943	1960	116
944	1962	114
945	1964	112
946	1965	110
947	1967	107
948	1970	105
949	1973	103
950	1975	101
951	1977	99
952	1978	97
953	1979	95
954	1980	93
955	1982	91
956	1986	89
957	1988	87
958	1990	85
959	1991	82
960	1992	80
961	1994	78
962	1995	76
963	1997	74
964	2002	72
965	2004	70
966	2005	68
967	2007	66
968	2008	64
969	2010	62
970	2011	60
971	2014	58
972	2017	55
973	2018	53
974	2019	51
975	2021	49
976	2022	47
977	2023	45
978	2024	43
979	2025	41
980	2027	39
981	2029	37
982	2031	35
983	2033	33
984	2034	30
985	2036	28
986	2037	26
987	2038	24
988	2040	22
989	2041	20
990	2042	18
991	2045	16
992	2046	14
993	2048	12
994	2049	10
995	2051	8
996	2052	6
997	2053	4
998	2055	2
999	2056	0
